Designator,Mid X,Mid Y,Layer,Rotation
LED1,82.55,45.72,Top,270.0
LED2,82.65,42.55,Top,270.0
LED3,82.65,39.37,Top,270.0
LED4,82.65,36.20,Top,270.0
LED5,82.65,33.02,Top,270.0
LED6,82.65,26.67,Top,270.0
LED7,82.65,23.50,Top,270.0
LED8,82.65,20.32,Top,270.0
LED9,82.65,17.14,Top,270.0
LED10,82.65,13.97,Top,270.0
LED11,87.09,45.72,Top,270.0
LED12,87.09,42.55,Top,270.0
LED13,87.09,39.37,Top,270.0
LED14,87.09,36.20,Top,270.0
LED15,87.09,33.02,Top,270.0
LED16,87.09,26.67,Top,270.0
LED17,87.09,23.50,Top,270.0
LED18,87.09,20.32,Top,270.0
LED19,87.09,17.14,Top,270.0
LED20,87.09,13.97,Top,270.0
LED21,91.54,45.72,Top,270.0
LED22,91.54,42.55,Top,270.0
LED23,91.54,39.37,Top,270.0
LED24,91.54,36.20,Top,270.0
LED25,91.54,33.02,Top,270.0
LED26,91.54,26.67,Top,270.0
LED27,91.54,23.50,Top,270.0
LED28,91.54,20.32,Top,270.0
LED29,91.54,17.14,Top,270.0
LED30,91.54,13.97,Top,270.0
LED31,99.16,45.72,Top,270.0
LED32,99.16,42.55,Top,270.0
LED33,99.16,39.37,Top,270.0
LED34,99.16,36.20,Top,270.0
LED35,99.16,33.02,Top,270.0
LED36,99.16,26.67,Top,270.0
LED37,99.16,23.50,Top,270.0
LED38,99.16,20.32,Top,270.0
LED39,99.16,17.14,Top,270.0
LED40,99.16,13.97,Top,270.0
LED41,103.60,45.72,Top,270.0
LED42,103.60,42.55,Top,270.0
LED43,103.60,39.37,Top,270.0
LED44,103.60,36.20,Top,270.0
LED45,103.60,33.02,Top,270.0
LED46,103.60,26.67,Top,270.0
LED47,103.60,23.50,Top,270.0
LED48,103.60,20.32,Top,270.0
LED49,103.60,17.14,Top,270.0
LED50,103.60,13.97,Top,270.0
LED51,108.05,45.72,Top,270.0
LED52,108.05,42.55,Top,270.0
LED53,108.05,39.37,Top,270.0
LED54,108.05,36.20,Top,270.0
LED55,108.05,33.02,Top,270.0
LED56,108.05,26.67,Top,270.0
LED57,108.05,23.50,Top,270.0
LED58,108.05,20.32,Top,270.0
LED59,108.05,17.14,Top,270.0
LED60,108.05,13.97,Top,270.0
LED61,115.67,45.72,Top,270.0
LED62,115.67,42.55,Top,270.0
LED63,115.67,39.37,Top,270.0
LED64,115.67,36.20,Top,270.0
LED65,115.67,33.02,Top,270.0
LED66,115.67,26.67,Top,270.0
LED67,115.67,23.50,Top,270.0
LED68,115.67,20.32,Top,270.0
LED69,115.67,17.14,Top,270.0
LED70,115.67,13.97,Top,270.0
LED71,120.11,45.72,Top,270.0
LED72,120.11,42.55,Top,270.0
LED73,120.11,39.37,Top,270.0
LED74,120.11,36.20,Top,270.0
LED75,120.11,33.02,Top,270.0
LED76,120.11,26.67,Top,270.0
LED77,120.11,23.50,Top,270.0
LED78,120.11,20.32,Top,270.0
LED79,120.11,17.14,Top,270.0
LED80,120.11,13.97,Top,270.0
LED81,124.56,45.72,Top,270.0
LED82,124.56,42.55,Top,270.0
LED83,124.56,39.37,Top,270.0
LED84,124.56,36.20,Top,270.0
LED85,124.56,33.02,Top,270.0
LED86,124.56,26.67,Top,270.0
LED87,124.56,23.50,Top,270.0
LED88,124.56,20.32,Top,270.0
LED89,124.56,17.14,Top,270.0
LED90,124.56,13.97,Top,270.0
LED91,132.18,45.72,Top,270.0
LED92,132.18,42.55,Top,270.0
LED93,132.18,39.37,Top,270.0
LED94,132.18,36.20,Top,270.0
LED95,132.18,33.02,Top,270.0
LED96,132.18,26.67,Top,270.0
LED97,132.18,23.50,Top,270.0
LED98,132.18,20.32,Top,270.0
LED99,132.18,17.14,Top,270.0
LED100,132.18,13.97,Top,270.0
LED101,136.62,45.72,Top,270.0
LED102,136.62,42.55,Top,270.0
LED103,136.62,39.37,Top,270.0
LED104,136.62,36.20,Top,270.0
LED105,136.62,33.02,Top,270.0
LED106,136.62,26.67,Top,270.0
LED107,136.62,23.50,Top,270.0
LED108,136.62,20.32,Top,270.0
LED109,136.62,17.14,Top,270.0
LED110,136.62,13.97,Top,270.0
LED111,141.06,45.72,Top,270.0
LED112,141.06,42.55,Top,270.0
LED113,141.06,39.37,Top,270.0
LED114,141.06,36.20,Top,270.0
LED115,141.06,33.02,Top,270.0
